,Player,Team,Pos,Injury,Status,Est. Return
0,Blaze Alexander,ARI,INF,Strained oblique,10-Day IL,
1,Kendall Graveman,ARI,RP,Strained back (lumbar),15-Day IL,
2,Blake Walston,ARI,SP,Tommy John surgery,60-Day IL,
3,Kevin Ginkel,ARI,RP,Shoulder inflammation,15-Day IL,
4,Jordan Montgomery,ARI,SP,Tommy John surgery,60-Day IL,
5,Ketel Marte,ARI,2B,Strained hamstring,10-Day IL,
6,Brett Harris,ATH,3B,Strained oblique,Activated,04/03/25
7,Brady Basso,ATH,SP,Strained shoulder,60-Day IL,
8,Michel Otañez,ATH,RP,Shoulder impingement,15-Day IL,
9,Zack Gelof,ATH,2B,Hamate surgery (right hand),10-Day IL,
10,Ken Waldichuk,ATH,SP,Tommy John surgery/ flexor tendon surgery,60-Day IL,
11,Luis Medina,ATH,SP,Tommy John surgery,60-Day IL,
12,Sean Murphy,ATL,C,Fractured ribcage,Activated,04/06/25
13,Nacho Alvarez Jr.,ATL,INF,Wrist inflammation,10-Day IL,
14,Reynaldo López,ATL,SP,Arthroscopic shoulder surgery,60-Day IL,
15,Spencer Strider,ATL,SP,Elbow surgery (internal brace),15-Day IL,
16,Ronald Acuña Jr.,ATL,OF,Knee surgery (torn ACL),10-Day IL,
17,Joe Jiménez,ATL,RP,Knee surgery (cartilage repair),60-Day IL,
18,Trevor Rogers,BAL,SP,Kneecap subluxation,15-Day IL,
19,Chayce McDermott,BAL,SP,Strained lat,15-Day IL,
20,Gunnar Henderson,BAL,SS,Strained intercostal,Activated,04/04/25
21,Grayson Rodriguez,BAL,RP,Elbow inflammation,15-Day IL,
22,Andrew Kittredge,BAL,RP,Arthroscopic knee surgery,15-Day IL,
23,Albert Suárez,BAL,RP,Shoulder inflammation,60-Day IL,
24,Colton Cowser,BAL,OF,Fractured thumb (left),10-Day IL,
25,Zach Eflin,BAL,SP,Strained lat,15-Day IL,
26,Tyler Wells,BAL,SP,Elbow surgery (internal brace),60-Day IL,
27,Kyle Bradish,BAL,SP,Tommy John surgery,60-Day IL,
28,Kutter Crawford,BOS,SP,Knee discomfort (patellar tendinopathy),15-Day IL,
29,Brayan Bello,BOS,SP,Strained shoulder,15-Day IL,
30,Zach Penrod,BOS,RP,Sprained elbow,60-Day IL,
31,Lucas Giolito,BOS,RP,Strained hamstring,15-Day IL,
32,Liam Hendriks,BOS,RP,Elbow inflammation (compressed nerve),15-Day IL,
33,Connor Wong,BOS,C,Fractured finger (left pinkie),10-Day IL,
34,Chris Murphy,BOS,SP,Tommy John surgery,60-Day IL,
35,Richard Fitts,BOS,SP,Strained pectoral,15-Day IL,
36,Patrick Sandoval,BOS,SP,Elbow surgery (internal brace),60-Day IL,
