,Player,Team,Age,G,GS,CG,ShO,IP,H,ER,SO,BB,HR,W,L,SV,BS,HLD,ERA,WHIP,Year,IP per GS
0,Paul Skenes,PIT,NA,30.74,30.74,NA,NA,187.861,145.314,59.0066,234.579,52.5934,13.3,12.667,9.0251,0.0,,0.0,2.82688,1.05348,2025,6.111288223812622
1,Garrett Crochet,BOS,NA,31.55,31.55,NA,NA,180.969,136.927,56.7629,225.717,57.1379,15.8295,13.0471,8.7376,0.0,,0.0,2.82295,1.07237,2025,5.73594294770206
2,Tarik Skubal,DET,NA,32.037,32.037,NA,NA,193.612,162.069,65.269,218.009,46.7252,20.8889,12.9525,10.6428,0.0,,0.0,3.03401,1.07841,2025,6.043387333395761
3,Cole Ragans,KCR,NA,31.74,31.74,NA,NA,188.224,155.923,68.0559,225.494,65.6718,17.7482,11.7861,8.6529,0.0,,0.0,3.25411,1.17729,2025,5.930182734719597
4,Zack Wheeler,PHI,NA,33.037,33.037,NA,NA,204.204,173.967,77.1999,222.229,54.0835,24.5616,13.0364,9.7293,0.0,,0.0,3.40248,1.11678,2025,6.181069709719406
5,Chris Sale,ATL,NA,31.93,31.93,NA,NA,185.119,163.117,72.3528,226.238,46.9937,20.1021,12.131,9.4046,0.0,,0.0,3.5176,1.135,2025,5.797651111807078
6,Logan Webb,SFG,NA,33.037,33.037,NA,NA,205.852,199.051,74.6145,188.123,49.7465,15.332,13.179,9.747,0.0,,0.0,3.2622,1.20863,2025,6.230953173714321
7,Logan Gilbert,SEA,NA,32.8395,32.8395,NA,NA,200.571,166.671,72.2479,223.774,43.8561,24.5813,12.0993,10.5228,0.0,,0.0,3.24191,1.04964,2025,6.107614305942539
8,Hunter Greene,CIN,NA,30.28,30.28,NA,NA,185.086,147.434,74.715,219.768,60.5876,25.482,11.2236,10.3319,0.0,,0.0,3.63309,1.12392,2025,6.112483487450462
9,Spencer Strider,ATL,NA,24.99,24.99,NA,NA,144.85,110.421,50.7976,194.537,49.5342,15.3266,10.7069,6.5539,0.0,,0.0,3.15622,1.10428,2025,5.796318527410964
10,Jacob deGrom,TEX,NA,26.36,26.36,NA,NA,149.176,121.389,54.2304,184.416,36.1283,20.1003,9.3609,6.7526,0.0,,0.0,3.27179,1.05591,2025,5.659180576631259
11,Dylan Cease,SDP,NA,31.8395,31.8395,NA,NA,183.298,154.574,78.2152,218.098,71.3795,20.5233,12.0324,10.0399,0.0,,0.0,3.8404,1.23271,2025,5.7569371378319385
12,Yoshinobu Yamamoto,LAD,NA,28.65,28.65,NA,NA,166.167,141.876,58.0073,184.031,48.469,17.7209,12.1895,7.9315,0.0,,0.0,3.14182,1.14551,2025,5.799895287958115
13,Max Fried,NYY,NA,29.46,29.46,NA,NA,176.442,167.965,62.9443,174.699,48.2828,16.9405,12.6575,7.9942,0.0,,0.0,3.21068,1.22561,2025,5.9892057026476575
14,Spencer Schwellenbach,ATL,NA,30.93,30.93,NA,NA,189.945,172.285,70.9857,184.943,45.8416,20.483,12.2648,8.5416,0.0,,0.0,3.36345,1.14837,2025,6.1411251212415126
15,MacKenzie Gore,WSN,NA,31.93,31.93,NA,NA,181.446,158.891,73.7461,208.637,66.0504,21.0764,10.713,11.4836,0.0,,0.0,3.65792,1.23972,2025,5.682618227372377
16,Sonny Gray,STL,NA,30.93,30.93,NA,NA,182.493,158.717,70.9133,199.995,48.9039,21.9515,12.8025,8.8207,0.0,,0.0,3.49723,1.13769,2025,5.90019398642095
17,Framber Valdez,HOU,NA,29.46,29.46,NA,NA,184.963,165.135,68.6199,183.041,63.4663,15.9613,11.7935,9.3201,0.0,,0.0,3.33894,1.23593,2025,6.278445349626612
18,Pablo López,MIN,NA,29.28,29.28,NA,NA,174.515,160.617,66.5854,178.856,42.1337,20.9891,10.8225,9.7292,0.0,,0.0,3.43391,1.1618,2025,5.9602117486338795
19,Hunter Brown,HOU,NA,29.46,29.46,NA,NA,170.464,149.514,66.0993,177.498,56.3739,17.2246,10.8685,9.4257,0.0,,0.0,3.48985,1.20781,2025,5.786286490156144
20,Michael King,SDP,NA,31.74,31.74,NA,NA,183.445,155.843,70.9331,196.217,67.6309,21.0931,13.2768,8.9816,0.0,,0.0,3.48006,1.21821,2025,5.779615626969124
21,Nathan Eovaldi,TEX,NA,30.28,30.28,NA,NA,183.547,167.57,73.1404,178.606,44.1607,20.9326,10.7631,10.8531,0.0,,0.0,3.58635,1.15355,2025,6.06165785997358
22,Freddy Peralta,MIL,NA,31.74,31.74,NA,NA,183.837,146.491,71.809,216.428,66.9984,23.9138,10.9659,10.2716,0.0,,0.0,3.51551,1.1613,2025,5.791965973534972
23,Tyler Glasnow,LAD,NA,24.75,24.75,NA,NA,141.208,111.413,53.8576,176.793,49.5257,16.1694,10.2719,5.8809,0.0,,0.0,3.43265,1.13972,2025,5.705373737373737
24,Joe Ryan,MIN,NA,27.82,27.82,NA,NA,160.716,139.569,65.0753,174.076,33.0203,23.0709,9.9691,9.2472,0.0,,0.0,3.64419,1.07388,2025,5.776994967649173
25,Cristopher Sánchez,PHI,NA,29.46,29.46,NA,NA,171.308,165.242,65.414,156.587,50.0295,17.9445,11.1613,8.2086,0.0,,0.0,3.43664,1.25663,2025,5.814935505770536
26,Sandy Alcantara,MIA,NA,29.46,29.46,NA,NA,183.502,175.9,79.7607,162.623,54.8644,19.1716,11.1286,10.1386,0.0,,0.0,3.91192,1.25756,2025,6.228852681602173
27,Corbin Burnes,ARI,NA,30.74,30.74,NA,NA,184.708,174.513,79.524,184.395,60.6283,20.6696,10.7272,10.002,0.0,,0.0,3.87485,1.27305,2025,6.00871828236825
28,Nick Pivetta,SDP,NA,27.82,27.82,NA,NA,157.087,130.016,62.637,178.65,50.8628,21.4115,10.8256,9.1813,0.0,,0.0,3.58866,1.15145,2025,5.6465492451473756
29,Aaron Nola,PHI,NA,30.93,30.93,NA,NA,185.562,178.153,82.1936,184.449,47.3127,27.5816,10.4334,12.371,0.0,,0.0,3.9865,1.21505,2025,5.999418040737149
30,Kevin Gausman,TOR,NA,31.8395,31.8395,NA,NA,194.193,174.77,81.8045,187.486,53.3666,25.3628,11.4504,11.022,0.0,,0.0,3.79128,1.17479,2025,6.099122159581652
31,Chris Bassitt,TOR,NA,30.74,30.74,NA,NA,180.123,171.201,75.1591,172.253,58.1625,20.2735,10.6115,9.72,0.0,,0.0,3.75539,1.27337,2025,5.859564085881588
32,George Kirby,SEA,NA,24.82,24.82,NA,NA,143.238,135.102,56.4267,136.014,22.9058,18.2217,8.8812,8.3109,0.0,,0.0,3.54543,1.10311,2025,5.771071716357776
33,Jesús Luzardo,PHI,NA,39.2237,26.52,NA,NA,164.064,142.315,64.5549,182.068,55.9765,21.1323,11.1719,8.2204,0.0,,0.5457,3.54126,1.20862,2025,6.186425339366516
34,Jack Flaherty,DET,NA,29.46,29.46,NA,NA,170.038,147.463,66.5469,184.464,58.0169,19.4268,10.2902,9.0865,0.0,,0.0,3.52227,1.20843,2025,5.771826205023761
35,Shane McClanahan,TBR,NA,29.3093,22.05,NA,NA,135.757,119.399,51.8146,149.259,41.3825,15.5886,8.767,7.2691,0.0,,0.6253,3.43505,1.18433,2025,6.156780045351474
36,Kodai Senga,NYM,NA,33.7793,26.52,NA,NA,167.485,143.046,64.6646,178.687,67.3554,18.3047,11.4949,8.9219,0.0,,0.6182,3.47482,1.25624,2025,6.315422322775264
37,Roki Sasaki,LAD,NA,25.75,25.75,NA,NA,132.991,111.784,53.4246,154.508,56.9153,15.6793,8.3988,7.2669,0.0,,0.0,3.61545,1.2685,2025,5.164699029126214
38,Brady Singer,CIN,NA,29.28,29.28,NA,NA,170.253,166.589,77.6159,164.593,51.8314,22.7362,11.7908,9.5375,0.0,,0.0,4.10297,1.28292,2025,5.8146516393442615
39,Shota Imanaga,CHC,NA,29.92,29.92,NA,NA,182.22,162.802,73.1368,170.457,43.2215,26.1138,11.776,9.7082,0.0,,0.0,3.61229,1.13063,2025,6.09024064171123
40,Carlos Rodón,NYY,NA,31.93,31.93,NA,NA,185.031,154.771,84.8504,214.726,66.4099,29.1952,11.234,12.1509,0.0,,0.0,4.12716,1.19537,2025,5.794895082994049
41,Clay Holmes,NYM,NA,45.013,25.05,NA,NA,161.817,150.902,64.2787,163.907,71.9916,11.291,10.5398,8.6598,0.0,,0.6182,3.57508,1.37744,2025,6.4597604790419165
42,Yusei Kikuchi,LAA,NA,30.93,30.93,NA,NA,178.263,157.733,78.0165,192.68,61.2872,26.5616,9.8695,11.4279,0.0,,0.0,3.93884,1.22864,2025,5.763433559650824
43,Luis Castillo,SEA,NA,30.74,30.74,NA,NA,182.567,163.614,72.0406,182.421,55.5425,23.0403,10.8257,10.7207,0.0,,0.0,3.55139,1.20042,2025,5.939069616135329
44,Seth Lugo,KCR,NA,30.74,30.74,NA,NA,187.07,187.988,85.2261,159.488,58.2793,21.6858,10.5079,11.3425,0.0,,0.0,4.10026,1.31645,2025,6.085556278464542
45,Mitch Keller,PIT,NA,30.74,30.74,NA,NA,180.646,178.799,85.1397,160.611,59.5771,19.4568,9.8137,11.6677,0.0,,0.0,4.24177,1.31958,2025,5.876577748861418
46,Drew Rasmussen,TBR,NA,44.2326,20.64,NA,NA,132.236,119.653,48.067,130.214,32.6345,12.9228,8.3521,6.7041,0.0,,0.6253,3.27145,1.15163,2025,6.406782945736434
47,Zac Gallen,ARI,NA,30.28,30.28,NA,NA,174.099,165.114,77.8964,179.604,61.5513,20.5482,10.5753,10.6854,0.0,,0.0,4.02684,1.30194,2025,5.7496367239101716
48,Nick Lodolo,CIN,NA,24.9,24.9,NA,NA,144.296,130.785,58.7807,137.357,40.4759,18.113,9.487,8.6545,0.0,,0.0,3.66625,1.18687,2025,5.795020080321285
49,José Soriano,LAA,NA,26.52,26.52,NA,NA,156.489,139.201,63.9954,152.769,67.6365,15.5091,10.2454,9.0995,0.0,,0.0,3.68051,1.32174,2025,5.90079185520362
50,Taj Bradley,TBR,NA,29.46,29.46,NA,NA,171.329,152.019,75.6539,186.08,59.8683,24.0339,11.1966,9.2419,0.0,,0.0,3.97413,1.23673,2025,5.815648336727767
51,Eduardo Rodriguez,ARI,NA,33.5699,26.36,NA,NA,154.759,147.389,69.0136,151.833,51.3973,18.2178,8.7299,9.9242,0.0,,0.5885,4.01347,1.28448,2025,5.87097875569044
52,Brandon Woodruff,MIL,NA,23.36,23.36,NA,NA,137.627,122.913,57.1604,146.84,38.7495,18.6158,8.3976,7.9492,0.0,,0.0,3.73796,1.17465,2025,5.891566780821918
53,Zach Eflin,BAL,NA,26.52,26.52,NA,NA,157.767,157.603,67.1235,123.337,25.5992,21.7667,10.5577,8.9674,0.0,,0.0,3.82915,1.16122,2025,5.948981900452488
54,Ranger Suárez,PHI,NA,34.4089,23.52,NA,NA,143.318,135.934,57.179,129.757,47.3575,14.778,9.2476,7.9028,0.0,,0.5457,3.5907,1.27892,2025,6.093452380952382
55,Tanner Houck,BOS,NA,39.8407,29.1,NA,NA,179.951,183.134,81.4218,153.893,59.7098,19.2532,9.5419,10.7418,0.0,,0.5584,4.07221,1.3495,2025,6.183883161512027
56,Max Meyer,MIA,NA,34.1241,25.05,NA,NA,153.814,148.502,65.8536,142.718,50.9917,17.5829,8.3168,9.8659,0.0,,0.5708,3.85325,1.29698,2025,6.140279441117764
57,Kyle Freeland,COL,NA,30.46,30.46,NA,NA,176.772,204.746,99.299,129.27,43.0313,25.4626,7.1358,14.3109,0.0,,0.0,5.05562,1.40168,2025,5.803414313854234
58,Brayan Bello,BOS,NA,24.65,24.65,NA,NA,139.205,138.882,62.5486,128.042,50.0767,14.191,8.3862,8.5274,0.0,,0.0,4.04395,1.35742,2025,5.647261663286005
59,Michael Wacha,KCR,NA,27.82,27.82,NA,NA,157.274,155.133,75.5353,133.619,53.541,20.3816,8.0486,11.1268,0.0,,0.0,4.32251,1.32682,2025,5.653271028037383
60,Kris Bubic,KCR,NA,46.3133,21.98,NA,NA,149.825,140.126,60.0859,144.623,52.3035,15.8971,9.5885,8.8051,0.0,,0.5885,3.60937,1.28436,2025,6.816424021838034
61,Germán Márquez,COL,NA,27.99,27.99,NA,NA,159.552,175.394,86.3198,127.064,58.1244,20.6041,6.9859,12.4002,0.0,,0.0,4.86911,1.46359,2025,5.70032154340836
62,Ryan Feltner,COL,NA,29.46,29.46,NA,NA,167.663,177.114,87.4045,148.568,58.3892,23.8629,7.4294,10.9368,0.0,,0.0,4.69179,1.40462,2025,5.691208418194162
63,Matthew Boyd,CHC,NA,31.3733,26.04,NA,NA,151.648,135.699,62.131,152.045,54.2393,19.2389,9.2292,9.0497,0.0,,0.5954,3.68734,1.25249,2025,5.823655913978494
64,Bailey Ober,MIN,NA,29.28,29.28,NA,NA,164.022,158.948,78.9456,167.522,46.1812,26.7009,8.9115,10.2977,0.0,,0.0,4.33181,1.25062,2025,5.6018442622950815
65,Ben Brown,CHC,NA,44.0533,21.72,NA,NA,141.962,130.071,62.0415,156.281,58.6691,16.7411,9.6232,8.1433,0.0,,0.5954,3.93326,1.32951,2025,6.536003683241252
66,Miles Mikolas,STL,NA,29.46,29.46,NA,NA,164.39,177.665,85.1656,119.607,35.9267,21.9226,8.5699,11.724,0.0,,0.0,4.66264,1.2993,2025,5.580108621860148
67,Andrew Heaney,PIT,NA,35.7148,24.9,NA,NA,147.971,137.33,66.6845,140.389,45.7338,18.6131,7.2951,9.5568,0.0,,0.5391,4.05593,1.23716,2025,5.942610441767068
68,Blake Snell,LAD,NA,20.85,20.85,NA,NA,112.452,93.8545,44.0637,134.431,55.7774,12.5151,8.2653,5.4479,0.0,,0.0,3.52659,1.33063,2025,5.393381294964028
69,Bryan Woo,SEA,NA,26.36,26.36,NA,NA,149.806,137.057,62.4907,142.212,35.8345,20.3199,9.7758,8.1946,0.0,,0.0,3.7543,1.1541,2025,5.6830804248861915
70,Jeffrey Springs,ATH,NA,33.5699,26.36,NA,NA,152.278,144.465,66.5662,148.221,48.9518,20.6874,10.3793,9.243,0.0,,0.6095,3.93421,1.27015,2025,5.776858877086495
71,Tanner Bibee,CLE,NA,29.46,29.46,NA,NA,169.646,156.914,74.6231,166.823,53.8893,25.6152,10.2342,10.261,0.0,,0.0,3.95888,1.24261,2025,5.758520027155464
72,Reese Olson,DET,NA,26.52,26.52,NA,NA,144.568,141.956,66.4387,130.449,52.5351,15.1713,8.7487,9.2078,0.0,,0.0,4.13609,1.34532,2025,5.4512820512820515
73,Gavin Williams,CLE,NA,27.99,27.99,NA,NA,151.163,138.753,67.1781,155.405,60.2874,18.8136,9.2465,8.7363,0.0,,0.0,3.99968,1.31673,2025,5.400607359771348
74,Bryce Miller,SEA,NA,30.74,30.74,NA,NA,175.309,164.963,78.8462,164.649,54.6671,23.8558,9.162,12.0437,0.0,,0.0,4.04781,1.25282,2025,5.702960312296682
75,Shohei Ohtani,LAD,NA,15.95,15.95,NA,NA,91.4749,77.0325,35.573,107.049,30.6433,10.9839,6.4758,4.5004,0.0,,0.0,3.49994,1.17711,2025,5.735103448275862
76,Grayson Rodriguez,BAL,NA,19.11,19.11,NA,NA,108.422,96.8753,44.2988,115.991,36.9719,13.3531,7.0839,6.0298,0.0,,0.0,3.6772,1.2345,2025,5.673574045002616
77,Brandon Pfaadt,ARI,NA,34.4711,26.36,NA,NA,157.862,152.589,69.3802,146.135,38.0575,23.0262,10.6931,9.1054,0.0,,0.5885,3.95549,1.20768,2025,5.988694992412746
78,David Peterson,NYM,NA,31.9644,26.52,NA,NA,157.247,147.575,62.3819,147.922,65.2115,16.4125,10.1325,8.6367,0.0,,0.6182,3.57042,1.3532,2025,5.9293740573152345
79,Tylor Megill,NYM,NA,45.6119,14.76,NA,NA,108.243,94.4459,39.983,113.74,41.8167,11.164,7.8005,6.087,0.0,,0.6182,3.32442,1.25885,2025,7.333536585365853
80,Nick Martinez,CIN,NA,46.5296,24.9,NA,NA,159.866,166.04,83.8869,138.185,44.6167,26.2676,7.6657,11.4176,0.0,,0.5625,4.72259,1.31771,2025,6.420321285140563
81,José Berríos,TOR,NA,32.8395,32.8395,NA,NA,194.452,197.316,95.2148,171.729,59.717,29.9561,10.6649,11.6627,0.0,,0.0,4.4069,1.32183,2025,5.921283819790191
82,Landen Roupp,SFG,NA,38.3507,21.11,NA,NA,133.406,124.762,56.6342,131.576,55.2188,12.5985,7.1681,8.5405,0.0,,0.6004,3.82072,1.34912,2025,6.319564187588821
83,Shane Baz,TBR,NA,34.9389,24.05,NA,NA,149.921,140.41,67.2718,149.658,55.9978,20.4435,8.674,8.6318,0.0,,0.6253,4.03844,1.31008,2025,6.233721413721414
84,Matthew Liberatore,STL,NA,54.5589,19.17,NA,NA,140.848,133.616,61.7127,129.807,45.45,15.6539,8.0651,8.2623,0.0,,0.5944,3.94337,1.27135,2025,7.347313510693793
85,Ronel Blanco,HOU,NA,27.99,27.99,NA,NA,152.906,143.809,77.1353,157.909,69.0086,20.8924,9.2763,9.8885,0.0,,0.0,4.54016,1.39182,2025,5.462879599857092
86,Justin Verlander,SFG,NA,25.05,25.05,NA,NA,139.029,138.702,67.6239,125.0,39.1485,19.4333,7.1705,8.0652,0.0,,0.0,4.37763,1.27924,2025,5.5500598802395205
87,Mitchell Parker,WSN,NA,34.6867,26.52,NA,NA,159.363,152.92,71.9582,130.85,62.5139,19.6858,9.5788,9.403,0.0,,0.5901,4.06383,1.35184,2025,6.009162895927602
88,Clarke Schmidt,NYY,NA,28.9644,23.52,NA,NA,135.869,127.946,61.2795,131.211,47.2218,18.7487,8.419,8.1037,0.0,,0.6135,4.05917,1.28924,2025,5.776743197278912
89,Zebby Matthews,MIN,NA,51.2081,16.06,NA,NA,122.221,120.838,53.9275,111.309,26.4442,16.7757,7.0121,7.2502,0.0,,0.5736,3.97106,1.20505,2025,7.610273972602741
90,Tyler Mahle,TEX,NA,24.9,24.9,NA,NA,135.697,124.341,61.067,125.968,48.2688,18.215,9.0533,7.8948,0.0,,0.0,4.05022,1.27202,2025,5.449678714859438
91,Casey Mize,DET,NA,23.58,23.58,NA,NA,130.03,125.895,57.2541,107.583,39.8009,16.1899,8.4776,8.459,0.0,,0.0,3.96282,1.27429,2025,5.514418999151824
92,Mason Miller,ATH,NA,65.3827,0.0,NA,NA,65.3827,43.0764,17.079,98.5779,22.8099,5.1395,3.5826,2.3313,30.989,,1.8849,2.35094,1.0077,2025,0.0
93,Jose Quintana,MIL,NA,25.82,25.82,NA,NA,150.978,150.482,68.3112,122.268,54.2105,18.1312,8.9468,9.3353,0.0,,0.0,4.07212,1.35577,2025,5.847327652982185
94,Ryan Pepiot,TBR,NA,29.46,29.46,NA,NA,164.676,152.704,75.5206,170.568,63.8408,25.6836,9.7178,10.407,0.0,,0.0,4.1274,1.31497,2025,5.589816700610998
95,Yu Darvish,SDP,NA,20.44,20.44,NA,NA,115.47,108.35,53.2725,110.431,33.6955,16.9106,6.8599,7.1721,0.0,,0.0,4.15218,1.23015,2025,5.649217221135029
96,Luis Severino,ATH,NA,31.74,31.74,NA,NA,189.915,184.593,90.3403,163.333,68.3647,26.8143,9.1133,13.4491,0.0,,0.0,4.28118,1.33195,2025,5.983459357277883
97,Martín Pérez,CHW,NA,26.52,26.52,NA,NA,149.823,148.984,70.893,120.567,61.2944,18.8475,7.5178,9.6933,0.0,,0.0,4.25862,1.40352,2025,5.649434389140272
98,Edward Cabrera,MIA,NA,35.1911,21.58,NA,NA,128.059,112.677,57.0187,137.156,61.4639,14.8508,6.9114,8.1384,0.0,,0.5708,4.00729,1.35985,2025,5.934151992585728
99,Shane Bieber,CLE,NA,18.6744,13.23,NA,NA,83.1765,79.2794,33.3672,83.2838,21.2277,9.385,5.0983,4.6784,0.0,,0.6234,3.61045,1.20836,2025,6.286961451247166
100,Alex Cobb,DET,NA,16.17,16.17,NA,NA,90.3014,90.1139,37.1338,75.348,26.9759,8.2653,5.5348,5.498,0.0,,0.0,3.70099,1.29666,2025,5.584502164502164
101,Robbie Ray,SFG,NA,27.99,27.99,NA,NA,159.281,138.051,68.8433,166.579,60.9083,22.9877,11.3434,8.9796,0.0,,0.0,3.88993,1.24911,2025,5.690639514112183
102,Erick Fedde,STL,NA,29.46,29.46,NA,NA,165.101,158.625,79.8733,130.602,59.2175,23.0368,9.4044,10.8208,0.0,,0.0,4.35405,1.31945,2025,5.604243041412084
103,Steven Matz,STL,NA,54.1815,14.7,NA,NA,126.111,122.352,53.0636,105.596,35.3269,14.2369,6.5701,6.7246,1.0,,0.5944,3.78694,1.25032,2025,8.578979591836735
104,Walker Buehler,BOS,NA,37.8358,26.2,NA,NA,152.556,160.488,78.6212,131.167,47.1627,20.8538,8.6739,10.0812,0.0,,0.5584,4.63825,1.36115,2025,5.822748091603054
